comedian,full_name,country,birth_year
Robert Kelly,Robert Kelly,USA,1970
Robert Klein,Robert Klein,USA,1942
Robert Schimmel,Robert George Schimmel,USA,1950
Robin Harris,Robin Hughes Harris,USA,1953
Robin Williams,Robin McLaurin Williams,USA,1951
Rodney Carrington,Rodney Scott Carrington,USA,1968
Rodney Dangerfield,Jacob Cohen,USA,1921
Ron White,Ron White,USA,1956
Roseanne Barr,Roseanne Cherrie Barr,USA,1952
Roy Wood Jr.,"Roy Wood, Jr.",USA,1978
Russell Brand,Russell Edward Brand,England,1975
Russell Peters,Russell Dominic Peters,Canada,1970
Sam Kinison,Samuel Burl Kinison,USA,1953
Sandra Bernhard,Sandra Bernhard,USA,1955
Sarah Silverman,Sarah Kate Silverman,USA,1970
Sean Rouse,Sean Rouse,USA,
Shelley Berman,Sheldon Berman,USA,1926
Sheryl Underwood,Sheryl Underwood,USA,1963
Sinbad,David Adkins,USA,1956
Sommore,Lori Ann Rambough,USA,1966
Stephen Lynch,Stephen Andrew Lynch,USA,1971
Steve Byrne,Steve Byrne,USA,1974
Steve Harvey,Broderick Steven Harvey,USA,1957
Steve Hofstetter,Steven Israel Hofstetter,USA,1979
Steve Martin,Stephen Glenn Martin,USA,1945
Steven Wright,Steven Alexander Wright,USA,1955
Susie Essman,Susan Essman,USA,1955
T. J. Miller,Todd Joseph Miller,USA,1981
Ted Alexandro,Edward Alexandro,USA,1969
The Sklar Brothers,Randy and Jason Sklar,USA,1972
Tig Notaro,Mathilde O'Callaghan Notaro,USA,1971
Tim Allen,Timothy Alan Dick,USA,1953
Todd Barry,Todd Barry,USA,1964
Todd Glass,Todd Steven Glass,USA,1964
Tom Papa,Tom Papa,USA,1968
Tom Rhodes,Tom Rhodes,USA,1967
Tom Shillue,Tom Shillue,USA,
Tommy Johnagin,Tommy Johnagin,USA,1983
Tracy Morgan,Tracy Jamal Morgan,USA,1968
Vaughn Meader,Abbott Vaughn Meader,USA,1955
Wanda Sykes,Wanda Sykes,USA,1964
Whitney Cummings,Whitney Cummings,USA,1982
Whoopi Goldberg,Caryn Elaine Johnson,USA,1955
Woody Allen,Allen Stewart Konigsberg,USA,1935
Zach Galifianakis,Zachary Knight Galifianakis,USA,1969
